PlotID,Trt,DW,CHL,LA,FW,N,P,K,Mg,Ca,S,Na,Fe,Mn,B,Cu,Zn
3161,LN,8.62,247.9,1380.1,36.24999999,1.59,0.26,2.11,0.14,0.245,0.12,0.001,54,58,12,5,14
3163,LN,10.27,220.5,1735.3,45.75,1.56,0.47,3.25,0.1,0.25,0.13,0.001,53,60,10,6,18
3165,LN,6.78,252.1,1268.8,26.5,1.69,0.24,2.31,0.15,0.46,0.12,0.001,59,66,19,5,16
3167,LN,9.46,334.0,1560.2,32.64999999,1.98,0.25,2.02,0.18,0.49,0.12,0.001,70,66,20,6,17
3169,LN,8.77,212.6,1600.7,40.55000001,1.26,0.5,2.46,0.16,0.32,0.12,0.001,64,43,8,6,13
3171,LN,8.36,263.2,1641.5,36.80000001,1.98,0.31,3.4,0.11,0.33,0.12,0.001,70,49,11,4,14
3173,LN,5.71,155.5,1128.1,26.4,1.27,0.38,3.36,0.12,0.2,0.08,0.001,41,43,4,4,15
3175,LN,8.37,263.3,1599.7,35.79999999,1.86,0.28,2.46,0.13,0.26,0.14,0.001,63,33,9,5,13
3177,LN,7.52,219.5,1526.7,34.14999999,1.44,0.17,2.25,0.16,0.21,0.11,0.001,59,34,8,5,10
3179,LN,7.58,244.8,1469.2,30,1.81,0.25,2.39,0.14,0.28,0.13,0.001,59,40,10,5,16
3181,LN,5.52,262.5,1080.1,21.55,1.81,0.41,2.22,0.14,0.3,0.12,0.001,76,49,21,5,17
3183,LN,9.87,325.2,1618.6,40.35,1.93,0.34,2.84,0.09,0.28,0.15,0.001,66,58,13,6,19
3185,LN,6.75,240.9,1249.0,26.75,1.8,0.3,2.86,0.1,0.23,0.12,0.001,56,33,13,10,14
3187,LN,9.33,357.8,1701.5,35.34999999,2.92,0.35,2.55,0.23,0.64,0.19,0.005,93,63,20,10,31
3189,LN,7.23,219.5,1347.9,31.25000001,1.5,0.21,2.69,0.14,0.38,0.17,0.001,60,44,9,5,16
3191,LN,7.42,299.8,1240.9,30.15,1.72,0.29,2.92,0.18,0.54,0.14,0.001,58,50,8,6,25
3193,LN,7.45,187.2,1331.7,32.60000001,1.38,0.18,2.6,0.14,0.33,0.1,0.001,45,44,8,4,10
3195,LN,7.53,366.7,1344.3,35.34999999,2.17,0.35,2.65,0.13,0.34,0.18,0.001,76,42,10,7,16
3201,LN,6.94,313.4,1097.7,28.3,2.3,0.3,2.31,0.11,0.36,0.14,0.001,94,46,22,8,19
3203,LN,7.26,328.4,1104.5,27,2.26,0.32,2.56,0.1,0.45,0.14,0.001,81,52,13,8,13
3205,LN,5.82,265.7,1064.4,24.45,1.97,0.32,2.18,0.14,0.34,0.14,0.001,69,48,17,6,14
3207,LN,5.45,322.0,882.4,20.1,2,0.4,2.16,0.14,0.23,0.15,0.001,58,35,18,5,17
3209,LN,5.16,269.4,925.5,17.25,1.94,0.29,2.14,0.13,0.37,0.13,0.002,79,66,16,5,14
3211,LN,9.34,312.6,1425.8,32.00000001,1.93,0.28,2.01,0.13,0.37,0.12,0.001,75,55,12,5,15
3213,LN,6.39,273.6,1165.9,24.45,1.81,0.34,2.28,0.09,0.22,0.11,0.001,83,41,10,6,14
3215,LN,8.38,263.8,1558.7,31.14999999,1.84,0.27,2.31,0.14,0.36,0.12,0.001,66,51,13,5,14
3217,LN,5.85,256.1,1121.2,21.4,1.8,0.33,1.89,0.13,0.39,0.14,0.001,83,40,13,7,15
3219,LN,3.17,209.5,702.4,12.95,1.68,0.35,2.37,0.11,0.19,0.11,0.002,59,28,9,5,11
3221,LN,8.56,337.4,1492.2,32.49999999,1.95,0.25,1.96,0.12,0.42,0.13,0.001,70,50,15,5,12
3223,LN,2.67,257.9,564.5,11,1.41,0.24,2.05,0.1,0.2,0.12,0.001,50,21,10,4,13
3225,LN,4.24,339.5,780.2,13.45,1.97,0.25,1.5,0.17,0.38,0.11,0.001,65,55,16,7,20
3227,LN,5.1,205.9,1039.3,19.05,1.61,0.26,1.93,0.14,0.24,0.11,0.001,64,33,11,4,13
3229,LN,5.33,287.3,869.8,17.4,2.17,0.35,1.79,0.4,0.52,0.17,0.001,83,53,13,9,31
3231,LN,2.59,271.2,515.7,9.699999999,2.12,0.43,2.4,0.17,0.48,0.16,0.002,79,45,15,8,34
3233,LN,6.62,183.2,1026.4,22.85,1.79,0.31,2.15,0.11,0.3,0.14,0.001,64,61,23,6,12
3235,LN,5.23,238.5,856.7,21.9,1.76,0.27,2.36,0.14,0.27,0.13,0.002,59,30,20,7,13
3237,LN,6.98,202.1,1034.0,24.5,2.03,0.52,2.54,0.1,0.24,0.23,0.002,78,28,16,6,16
3239,LN,4.32,179.2,843.4,15.55,1.8,0.33,2.39,0.17,0.38,0.2,0.002,58,102,18,6,20
3241,LN,5.09,221.3,989.6,21.1,1.86,0.22,1.8,0.17,0.45,0.14,0.002,61,47,14,7,11
3243,LN,6.44,240.3,1244.0,30.24999999,1.74,0.29,2.33,0.1,0.29,0.18,0.001,84,32,12,6,13
3245,LN,4.49,236.7,925.5,19.75,1.84,0.25,2.11,0.1,0.33,0.18,0.001,69,68,11,5,11
3247,LN,5.01,233.5,956.4,22.65,2.03,0.33,2.3,0.15,0.41,0.14,0.001,81,52,14,6,11
3249,LN,6.71,287.9,1064.2,24.3,1.74,0.34,2.15,0.14,0.32,0.14,0.001,90,48,16,4,13
3251,LN,11.53,298.2,1698.3,46.35,2.52,0.29,2.45,0.17,0.54,0.13,0.001,74,49,16,6,19
3253,LN,5.11,375.5,859.1,18.05,2.05,0.38,1.98,0.14,0.39,0.14,0.001,92,52,11,7,18
3255,LN,5.67,195.7,1470.9,33.6,2.22,0.41,2.5,0.23,0.45,0.12,0.001,77,55,16,6,13
3257,LN,4.33,175.3,905.1,20.3,1.75,0.27,2.66,0.12,0.26,0.1,0.001,71,56,10,4,13
3259,LN,6.38,257.6,1050.0,24.15,0.85,0.37,2.18,0.13,0.37,0.14,0.001,78,92,29,6,15
3263,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3265,LN,4.33,409.7,708.9,14.5,2.63,0.37,2.17,0.18,0.36,0.19,0.001,101,44,20,12,26
3267,LN,11.42,297.8,2000.0,49.74999999,2.02,0.29,2.99,0.1,0.21,0.14,0.001,82,35,14,5,14
3269,LN,8.23,316.4,1250.9,31.5,2.08,0.31,2.13,0.16,0.44,0.16,0.001,86,72,17,9,21
3271,LN,8.89,293.0,1352.2,33.99999999,1.97,0.21,2.06,0.18,0.45,0.14,0.001,75,31,13,4,13
3273,LN,7.41,232.1,1525.6,32.25,2.03,0.26,2.08,0.11,0.42,0.16,0.001,81,83,9,5,24
3275,LN,9.75,341.1,1655.5,43.59999999,2.53,0.34,2.75,0.19,0.38,0.17,0.001,102,80,11,9,14
3277,LN,8.35,285.9,1472.4,37.44999999,1.81,0.28,2.94,0.21,0.51,0.14,0.001,98,83,10,6,23
3279,LN,5.67,276.1,1212.4,25.45,2.21,0.39,2.31,0.14,0.3,0.15,0.001,74,64,29,8,21
3281,LN,6.25,187.1,1141.0,28.35,1.48,0.37,2.92,0.12,0.35,0.11,0.001,77,67,16,4,17
3283,LN,10.77,331.7,1841.4,42.35000001,2.15,0.3,2.44,0.14,0.43,0.14,0.001,83,61,14,6,17
3285,LN,6.21,235.5,1215.0,27,1.85,0.24,2.5,0.12,0.39,0.14,0.001,77,41,11,6,20
3287,LN,10.13,267.5,1677.4,43.25000001,2.02,0.44,2.81,0.18,0.56,0.14,0.001,75,87,16,6,17
3289,LN,6.85,217.7,1333.3,31.44999999,1.97,0.41,2.9,0.16,0.4,0.12,0.001,81,42,13,6,31
3291,LN,7.33,240.3,1401.1,30.35000001,1.8,0.23,2.79,0.12,0.32,0.11,0.001,70,40,9,5,12
3293,LN,6.14,118.5,1117.0,25.6,1.63,0.36,3.1,0.13,0.32,0.12,0.001,80,59,14,6,23
3295,LN,7.82,256.9,1492.8,32.15000001,1.95,0.24,2.76,0.23,0.58,0.14,0.001,83,49,14,5,21
3301,LN,7.55,306.7,917.4,30.80000001,1.88,0.32,1.99,0.13,0.28,0.14,0.001,72,45,14,5,14
3303,LN,7.73,304.7,1122.4,29.2,1.91,0.3,2.17,0.12,0.36,0.17,0.001,64,69,11,5,14
3305,LN,6.3,269.9,1093.7,22.55,1.62,0.28,2.22,0.14,0.43,0.15,0.01,80,60,18,6,14
3307,LN,5.6,208.6,1029.7,21.55,1.67,0.22,1.88,0.15,0.42,0.1,0.002,64,47,16,4,13
3309,LN,4.49,222.2,856.7,18.3,1.43,0.32,2.45,0.11,0.24,0.11,0.001,51,36,11,4,21
3311,LN,6.56,226.5,1048.5,25.05,1.44,0.3,1.97,0.1,0.32,0.11,0.001,59,23,11,5,11
3313,LN,8.08,210.4,1454.5,30.24999999,1.24,0.33,2.3,0.13,0.29,0.15,0.002,65,53,9,5,22
3315,LN,7.23,247.5,1169.3,23.95,1.38,0.2,2.02,0.09,0.32,0.1,0.001,61,50,13,3,10
3317,LN,5.25,250.5,1020.9,21.15,1.49,0.27,2.36,0.17,0.31,0.12,0.001,61,47,8,4,12
3319,LN,5.41,375.1,1018.7,24.4,1.43,0.4,2.91,0.09,0.23,0.18,0.001,65,52,12,5,17
3321,LN,8.77,273.3,1414.7,37.29999999,1.36,0.22,2.46,0.09,0.2,0.1,0.002,51,27,8,4,11
3323,LN,5.93,154.0,1222.7,23.4,1.49,0.25,2.18,0.13,0.24,0.13,0.001,57,39,8,3,15
3325,LN,7.34,314.7,1341.7,28.4,1.32,0.2,1.95,0.1,0.21,0.11,0.002,56,34,7,3,14
3327,LN,7.16,349.6,1180.9,29.6,1.87,0.36,2.48,0.17,0.39,0.22,0.002,75,51,7,6,19
3329,LN,4.66,239.2,851.3,16.9,2.78,0.36,2.35,0.15,0.24,0.12,0.002,56,42,7,3,12
3331,LN,8.57,258.1,1496.8,31.25000001,1.61,0.26,2.04,0.12,0.3,0.09,0.001,47,35,11,4,12
3333,LN,8.06,225.3,1297.3,30.99999999,0.85,0.24,2.16,0.13,0.28,0.09,0.002,60,40,8,4,9
3335,LN,4.26,292.9,825.6,15.1,1.86,0.45,2.48,0.17,0.41,0.15,0.002,77,82,18,8,13
3337,LN,3.57,308.1,639.2,12.95,2.14,0.56,2.18,0.25,0.52,0.19,0.001,73,44,24,9,32
3339,LN,6.57,238.4,1089.9,23.9,1.49,0.41,2.46,0.18,0.31,0.14,0.003,101,47,7,3,14
3341,LN,10.69,274.2,1740.1,44.19999999,1.89,0.53,2.88,0.14,0.34,0.15,0.001,65,42,17,5,23
3343,LN,4.81,277.5,858.7,19.15,1.01,0.38,2.19,0.1,0.11,0.09,0.001,41,45,6,3,12
3345,LN,6.05,228.2,1114.3,25.05,1.07,0.32,2.4,0.15,0.21,0.11,0.001,48,42,10,3,11
3347,LN,5.06,277.1,903.4,19.05,1.59,0.34,1.94,0.111,0.17,0.11,0.001,47,30,12,5,18
3349,LN,9.6,297.5,1742.7,36.24999999,1.45,0.24,1.86,0.1,0.21,0.1,0.001,41,46,12,3,11
3351,LN,6.74,232.7,1145.9,26.45,1.5,0.34,2.6,0.07,0.15,0.11,0.001,44,34,7,4,16
3353,LN,4.98,186.3,1144.1,24.6,1.22,0.33,2.97,0.09,0.14,0.11,0.001,62,39,8,4,12
3355,LN,5.34,180.8,1007.6,24.95,0.99,0.33,2.84,0.16,0.32,0.1,0.001,76,35,9,3,9
3357,LN,4.73,179.1,941.7,21.55,1.05,0.38,3.13,0.09,0.19,0.1,0.001,62,35,3,2,11
3359,LN,7.33,227.2,1247.4,32.1,1.23,0.32,2.72,0.1,0.2,0.1,0.001,66,50,7,4,10
3361,LN,6.33,212.6,1145.6,23.6,0.99,0.41,2.3,0.08,0.15,0.09,0.001,55,47,8,3,10
3363,LN,5.95,197.6,1138.7,27,1.05,0.29,2.69,0.13,0.26,0.09,0.001,54,37,5,3,13
3365,LN,6.87,207.3,1114.0,26.05,0.68,0.27,3.08,0.08,0.11,0.08,0.001,42,44,8,3,7
3367,LN,7.21,258.3,1337.7,26.55,1.56,0.24,1.92,0.13,0.34,0.1,0.001,76,44,15,4,11
3369,LN,3.75,211.9,824.4,20.3,1.81,0.28,2.95,0.18,0.32,0.14,0.001,132,63,15,6,16
3371,LN,6.37,337.1,990.8,24.85,2.18,0.54,1.86,0.21,0.4,0.18,0.001,100,70,13,6,15
3373,LN,10.9,363.9,1617.8,36.65000001,2,0.3,2.15,0.13,0.39,0.13,0.001,84,67,20,7,20
3375,LN,5.99,192.5,1284.1,28.25,1.39,0.34,2.77,0.11,0.26,0.12,0.001,90,41,13,6,14
3377,LN,8.16,252.6,1550.2,31.8,1.63,0.31,2.47,0.1,0.22,0.12,0.001,83,43,13,6,16
3379,LN,6.75,190.6,1242.1,25.1,1.26,0.23,2.31,0.07,0.2,0.1,0.001,81,29,14,4,11
3381,LN,2.97,310.8,609.8,10.6,1.93,0.37,2.29,0.1,0.24,0.14,0.002,97,40,17,6,23
3383,LN,7.19,264.2,1327.1,26.45,1.53,0.26,2.18,0.12,0.34,0.11,0.001,80,48,15,5,12
3385,LN,3.9,231.4,877.1,17.8,1.78,0.42,3.61,0.2,0.37,0.13,0.001,66,58,18,7,18
3387,LN,4.57,201.8,1034.8,21.35,1.33,0.32,3.06,0.14,0.39,0.14,0.001,84,105,19,6,17
3389,LN,6.15,261.6,1057.9,24.5,1.46,0.27,2.47,0.12,0.33,0.12,0.001,77,49,15,5,12
3391,LN,4.76,222.1,972.0,18.75,1.69,0.33,2.8,0.08,0.33,0.13,0.001,85,46,25,6,20
3393,LN,6.71,221.9,1107.2,25.9,1.72,0.36,2.77,0.14,0.26,0.12,0.001,75,33,16,5,15
3395,LN,4.57,281.9,941.2,19.65,1.69,0.21,2.61,0.1,0.27,0.12,0.001,90,42,19,5,11
3401,LN,7.42,328.6,1311.8,29.6,1.88,0.3,1.99,0.12,0.44,0.16,0.001,83,42,18,5,13
3403,LN,6.64,241.7,1037.9,26.9,1.56,0.44,2.9,0.1,0.45,0.12,0.001,75,63,10,4,20
3405,LN,8.14,259.0,1252.3,28.6,1.6,0.27,1.77,0.13,0.42,0.13,0.001,72,55,14,4,12
3407,LN,5.97,211.2,1034.8,22.95,1.38,0.24,1.67,0.18,0.57,0.11,0.001,59,32,14,4,15
3409,LN,6.76,242.0,1114.0,22.95,1.4,0.24,1.82,0.12,0.41,0.12,0.002,59,48,15,4,12
3411,LN,6.87,198.1,1304.3,28.45,1.55,0.24,2.33,0.14,0.31,0.16,0.001,57,38,10,5,18
3413,LN,6.85,224.6,1318.3,25.15,1.69,0.42,1.89,0.14,0.51,0.13,0.001,69,72,13,5,26
3415,LN,7,205.4,1191.4,25.05,1.32,0.27,2.16,0.11,0.26,0.09,0.001,57,40,14,6,16
3417,LN,8.41,213.6,1502.7,31.14999999,1.25,0.24,2.02,0.1,0.31,0.1,0.001,61,53,10,4,12
3419,LN,5.59,325.2,789.2,22.1,1.5,0.28,1.98,0.15,0.4,0.13,0.001,66,55,13,5,15
3421,LN,7.68,180.8,1250.3,30.99999999,1.31,0.24,2.43,0.08,0.2,0.1,0.001,57,35,13,5,12
3423,LN,5.48,237.7,1055.2,22.7,1.35,0.21,2,0.13,0.36,0.11,0.002,64,43,13,5,11
3425,LN,5.58,193.0,985.1,20.2,1.1,0.18,1.88,0.13,0.27,0.09,0.002,61,37,7,3,10
3427,LN,5.17,247.3,943.4,17.7,1.6,0.31,1.71,0.18,0.3,0.13,0.001,69,23,12,5,19
3429,LN,5.78,288.4,962.1,22.8,1.57,0.22,1.56,0.12,0.48,0.14,0.002,62,46,15,7,12
3431,LN,7.59,193.3,1318.0,25.8,1.36,0.29,1.49,0.15,0.36,0.12,0.001,58,60,12,5,17
3433,LN,7.76,227.1,1512.6,30.50000001,1.41,0.23,2.19,0.12,0.35,0.11,0.001,73,42,13,5,12
3435,LN,7.05,270.6,1150.8,26.3,1.81,0.29,2.35,0.19,0.37,0.13,0.002,70,34,23,6,15
3437,LN,5.48,224.3,1111.1,19.9,1.48,0.27,1.59,0.15,0.28,0.11,0.001,93,30,14,5,17
3439,LN,7.54,239.9,1289.7,26.45,1.54,0.3,2.11,0.05,0.32,0.11,0.001,71,34,19,7,14
3441,LN,5.08,292.2,769.5,18.85,1.51,0.42,1.88,0.18,0.22,0.11,0.001,73,39,14,7,15
3443,LN,7.34,247.8,1410.8,32.4,1.51,0.32,2.45,0.12,0.31,0.1,0.001,85,24,21,6,12
3445,LN,5.57,210.5,1228.7,26.55,1.77,0.32,2.22,0.22,0.5,0.13,0.002,112,48,20,7,14
3447,LN,6.08,216.0,1242.0,24.55,1.18,0.28,2.1,0.16,0.34,0.09,0.001,70,34,14,4,12
3449,LN,5.89,167.7,1110.6,23.8,1.25,0.5,2.85,0.08,0.16,0.12,0.001,79,34,10,5,11
3451,LN,5.62,232.7,1057.7,24.85,1.71,0.38,2.11,0.17,0.26,0.1,0.001,70,38,15,4,17
3453,LN,5.89,186.1,1226.4,25.75,1.62,0.32,2.37,0.18,0.41,0.13,0.001,77,52,14,6,19
3455,LN,3.68,217.9,908.1,16.35,1.56,0.32,2.88,0.13,0.23,0.11,0.001,66,23,10,5,9
3457,LN,5.85,277.7,972.2,23.8,1.55,0.39,2.3,0.15,0.4,0.14,0.001,82,45,15,5,12
3459,LN,7.2,277.0,1254.2,30.69999999,1.55,0.24,2,0.11,0.22,0.11,0.001,55,21,17,3,13
3461,LN,5.87,249.9,1170.4,24.7,1.48,0.33,2.2,0.18,0.49,0.11,0.003,66,58,11,6,16
3463,LN,6.75,224.6,1110.5,29.05,1.15,0.26,1.96,0.17,0.31,0.29,0.001,71,28,8,5,9
3465,LN,5.39,208.3,945.1,20.7,1.46,0.32,2.04,0.15,0.3,0.11,0.002,56,27,17,4,10
3467,LN,4.72,230.5,971.7,19.4,1.71,0.43,2.13,0.16,0.36,0.16,0.001,72,54,12,5,14
3469,LN,6.88,246.4,1058.7,24.95,1.81,0.46,2.39,0.18,0.41,0.13,0.001,69,21,14,7,20
3471,LN,8.4,314.9,1237.3,30.09999999,1.92,0.43,2.01,0.15,0.28,0.16,0.001,88,16,17,10,24
3473,LN,5.14,282.8,922.0,21.75,1.77,0.46,2.49,0.22,0.3,0.15,0.002,76,44,8,6,16
